child_id,stroke_id,point_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc
634504f786788e3d894241ab,0,99,549.0,243.0,524.0542,Ended,4,0.08407593,0.6726837,-0.717254639,Yellow,Outside,89.02954
634504f786788e3d894241ab,0,100,1845.0,124.999969,527.9539,Ended,0,0.08036804,0.7382965,0.6365509,Yellow,Super outside,89.02954
634504f786788e3d894241ab,1,0,1912.0,505.000031,444.189056,Began,0,-0.07559204,-0.227371216,-0.5674286,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,1,1926.0,532.0,444.222382,Moved,0,-0.0533599854,-0.307632446,-1.035141,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,2,1967.0,543.0,444.2557,Moved,0,-0.0604248047,-0.1950531,-1.02711487,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,3,2018.0,559.0,444.289063,Moved,0,0.0122833252,-0.344207764,-0.728393555,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,4,2024.0,561.0,444.3224,Moved,0,-0.13041687,-0.371658325,-1.046936,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,5,2024.0,553.0,444.3557,Moved,0,-0.09637451,-0.3212738,-0.847320557,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,6,2024.0,547.0,444.389038,Moved,0,-0.09718323,-0.355896,-0.902862549,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,7,2024.0,550.0,444.422363,Moved,0,-0.108230591,-0.353652954,-0.927932739,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,8,2028.0,556.0,444.455719,Moved,0,-0.114654541,-0.29447937,-0.956588745,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,9,2029.0,563.0,444.489044,Moved,0,-0.111312866,-0.229553223,-0.9751892,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,10,2030.0,568.0,444.522369,Moved,0,-0.0721282959,-0.236618042,-0.9750061,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,11,2041.0,586.0,444.5557,Moved,0,-0.09648132,-0.294372559,-0.9306183,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,12,2041.0,586.0,444.58902,Stationary,0,-0.05531311,-0.321472168,-0.9767151,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,13,2041.0,586.0,444.622375,Stationary,0,-0.08695984,-0.334152222,-0.9937897,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,1,14,2045.0,590.0,444.6557,Ended,0,-0.119476318,-0.2655487,-0.903656,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,2,0,676.0,1428.0,444.389038,Began,1,-0.09718323,-0.355896,-0.902862549,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,2,1,676.0,1428.0,444.422363,Stationary,1,-0.108230591,-0.353652954,-0.927932739,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,2,2,676.0,1428.0,444.455719,Canceled,1,-0.114654541,-0.29447937,-0.956588745,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,3,0,581.0,996.0,444.755676,Began,0,-0.0453948975,-0.23878479,-1.0426178,RedDefault,Outside,1.68776369
634504f786788e3d894241ab,3,1,709.0,978.999939,444.789032,Moved,0,-0.06593323,-0.318954468,-0.931625366,RedDefault,Roof,2.10970473
634504f786788e3d894241ab,3,2,781.0,921.999939,444.822357,Moved,0,-0.09185791,-0.250869751,-0.983612061,RedDefault,Roof,2.53164554
634504f786788e3d894241ab,3,3,826.0,995.000061,444.855682,Moved,0,-0.0968475342,-0.340179443,-0.934738159,RedDefault,Roof,2.95358658
634504f786788e3d894241ab,3,4,865.0,1041.0,444.889,Moved,0,-0.243865967,-0.431289673,-0.8850403,RedDefault,Roof,3.37552738
634504f786788e3d894241ab,3,5,898.0,1019.00006,444.922333,Moved,0,0.05596924,-0.175537109,-0.962356567,RedDefault,Roof,3.79746819
634504f786788e3d894241ab,3,6,919.0,977.000061,444.9557,Moved,0,0.050491333,-0.219070435,-0.925857544,RedDefault,Roof,4.21940947
634504f786788e3d894241ab,3,7,874.0,927.0,444.989,Moved,0,-0.107070923,-0.254837036,-1.00291443,RedDefault,Roof,4.64135027
