feature,td_mean,td_std,asd_dd_mean,asd_dd_std,mean_diff,mean_diff_pct,t_statistic,t_pvalue,u_statistic,u_pvalue,cohen_d,abs_cohen_d,significant_t,significant_u,composite_score,final_score
curvature_mean_session_mean_std,0.07560075099684278,0.04886134962853325,0.08534137091117558,0.06637058172467461,-0.009740619914332796,-12.884289885876374,-1.316843903102336,0.1890034229063424,8647.0,0.6197429882441985,-0.1671426300447505,0.1671426300447505,False,False,0.23174349514235448,0.25045720408734695
velocity_cv_session_mean_std,0.10042274287415634,0.062113311883111255,0.14489204357713972,0.2383297633285478,-0.04446930070298338,-44.28210127531529,-1.9125563817060105,0.05685892730631408,8663.0,0.6374921177831584,-0.25534489224231044,0.25534489224231044,False,False,0.12744073897976854,0.24912254325590721
zones_revisited_max,7.318181818181818,0.7158983345101888,7.3128834355828225,0.9719616945701002,0.005298382598995843,0.07240025911671338,0.048905839874423276,0.9610303585617592,8481.5,0.40662119725354917,0.0062072002701359956,0.0062072002701359956,False,False,0.22268039486109692,0.24730063939031874
device_stability_session_std_first_last_diff,-1.0590498787722469,78.14546063086961,-10.054835184082975,84.93702523714308,8.99578530531073,-849.4203611768988,0.8810674345047843,0.37907671191530246,9200.0,0.41434578243930187,0.1102263640362638,0.1102263640362638,False,False,0.09081199434778653,0.24703040918705094
velocity_std_session_max_trend,-637.1522760251543,2795.729498527389,-108.58225223454852,3761.894643697932,-528.5700237906058,82.95819440339538,-1.2543435690898026,0.2108100456586026,8358.0,0.4837437722032224,-0.1594860548190026,0.1594860548190026,False,False,0.09122868025710484,0.24603989434376577
acceleration_std_session_std_std,12459.001214802665,15893.47759847124,12816.735229195303,14846.19687580024,-357.7340143926376,-2.871289666202217,-0.18875008623421094,0.8504320821399267,8157.0,0.3490000619055835,-0.02326157231332381,0.02326157231332381,False,False,0.13778916215976242,0.2459413590015832
velocity_cv_session_min_trend,0.002609732659051199,0.02737110704171515,0.016649603441023654,0.292704058175425,-0.014039870781972455,-537.981188735126,-0.5012793791379943,0.6165860094005272,8548.0,0.36828847205531434,-0.06753965042761072,0.06753965042761072,False,False,0.09765868141843101,0.24582692297997927
device_stability_session_max_std,157.20559498449944,113.85115325885613,172.28413150772928,125.64245686555635,-15.078536523229843,-9.591602973619734,-1.0095928521549928,0.3135909628599328,8490.5,0.45879311675586554,-0.12576781780247842,0.12576781780247842,False,False,0.10745073988758125,0.24490441406050606
path_efficiency_session_std_std,0.03893976661126552,0.033672738146627454,0.03965710745040263,0.040012693804073185,-0.0007173408391371108,-1.8421806332284993,-0.15402398186902835,0.8777071802270242,9351.0,0.33443247327959424,-0.019398685104153414,0.019398685104153414,False,False,0.1211218044497852,0.24376627339271867
device_stability_session_std_trend,-1.3770215841802222,38.95670654423767,-6.067801238135851,45.80215542394948,4.690779653955628,-340.64677764279014,0.873991636618809,0.382917145990598,9077.0,0.42167540425378114,0.11032605887009984,0.11032605887009984,False,False,0.07867633656524238,0.2412307032414783
pressure_std_session_mean_trend,1.663023612844013e-05,0.005547773062352383,0.004148254875482991,0.021717388046753,-0.0041316246393545515,-24844.05276897344,-1.9509825882720164,0.05210109499353192,8560.0,0.7040288240454462,-0.2606761014440495,0.2606761014440495,False,False,0.15245038592211907,0.23879690914062168
pressure_std_session_std_min,0.009047276390252615,0.009959281839978443,0.0142311365867716,0.030852468662400746,-0.005183860196518985,-57.29746691616485,-1.7011196834884337,0.09008473132250931,8407.0,0.5905724835731241,-0.22612786725283904,0.22612786725283904,False,False,0.0845817063932205,0.23865391374716455
